,Q
1087,3
7062,2
8865,1
8175,3
2960,3
3960,1
4841,2
5639,2
6918,2
8797,1
6403,3
5936,0
669,2
4289,2
6756,3
5431,3
651,3
4645,3
8138,3
511,1
4080,2
6942,1
9286,0
6484,3
8074,1
5661,2
7515,3
2414,1
5751,1
4356,3
8918,1
6374,2
2143,1
9544,2
4262,1
2983,3
8114,3
3553,3
3556,3
7576,1
860,1
7835,2
4286,3
9361,3
7744,2
3586,2
4554,3
5118,2
6604,2
6684,2
3526,0
7881,0
8675,0
8144,0
4820,1
5099,2
2743,1
7314,3
2280,3
6086,2
8679,2
5317,3
8907,3
2734,3
2723,2
4731,3
4153,3
7394,2
5499,2
4155,2
7354,3
7191,3
1048,2
2656,2
1260,3
4658,2
6382,3
8519,1
4067,3
1292,3
3794,3
6856,3
8642,3
5592,3
2027,2
8697,3
7597,3
355,3
462,2
107,3
3091,3
1671,3
5779,3
9229,2
809,3
7975,3
6981,3
5323,0
6718,1
508,3
9727,0
8847,1
6306,1
7607,3
9680,2
2647,3
2546,1
1432,3
4748,2
6780,1
4444,3
7453,1
4548,2
4927,3
3690,1
9385,2
1724,3
9952,2
872,2
5731,1
1767,2
3800,2
9377,3
5066,2
2255,2
2839,3
6358,3
758,0
8858,3
4994,2
9764,3
7818,3
8261,3
9230,3
3363,3
842,1
242,3
4791,3
2081,2
1654,1
8699,3
3057,3
5783,3
6914,3
3788,1
9752,2
9009,3
5743,1
123,2
6128,3
8666,3
6842,3
7951,1
8022,3
5430,2
3521,1
2621,2
2947,3
2617,1
4501,1
1421,3
6847,3
5989,3
8215,3
3019,2
5466,3
8748,3
8829,3
601,3
9375,3
5480,3
1137,3
1239,3
2257,3
5314,2
2374,3
3664,3
1962,3
9483,3
7454,2
5952,2
4343,1
6511,2
9293,3
5260,1
7788,3
8982,1
2852,2
2985,0
5031,1
6025,1
2085,3
1151,3
5142,3
4060,2
4986,3
4168,2
8638,3
337,0
8758,3
5047,3
7753,2
62,1
4661,3
6708,3
3000,0
5017,3
2971,3
1607,3
8722,1
7147,2
1945,1
5647,1
9289,3
8533,3
523,3
3544,2
8784,2
7644,0
2236,1
6620,1
5229,3
6440,3
8603,3
6258,3
533,1
5319,3
8615,1
7587,3
9779,3
5021,3
7382,2
6088,3
3481,2
1829,3
7697,3
6248,3
7391,2
9787,2
6472,3
2238,1
4916,2
6434,3
6570,2
7249,3
2426,2
7378,3
4390,1
6009,3
5151,2
3118,1
8279,2
4420,3
7656,2
7672,3
3582,3
8031,3
2299,2
7854,1
2872,0
3078,3
225,2
818,1
4350,2
1633,3
1059,3
8068,1
9938,3
8158,3
5979,2
9753,3
9157,3
8544,3
2332,2
6051,0
7526,3
5382,2
3103,3
8059,3
1097,2
6460,3
9881,3
7996,3
749,0
1236,3
3234,3
7640,2
4260,3
1383,3
282,3
5175,3
3881,2
3017,1
4446,3
5394,2
6628,3
3847,2
1973,3
9535,2
1952,3
3048,2
5421,2
467,2
5778,3
4735,1
816,1
1707,3
277,3
8955,3
8285,3
3970,3
1252,3
2360,3
2980,3
384,3
6910,3
5322,3
2895,3
5346,3
8585,1
5536,3
5754,2
4734,2
9283,3
5809,1
859,1
617,3
3393,3
3855,2
5652,2
9177,3
8547,3
6603,2
3896,2
5703,3
3358,3
5521,1
9373,3
50,2
736,1
7512,3
8330,3
3184,2
1214,1
2697,1
9527,1
5034,1
2046,3
332,2
2693,0
7618,3
2556,1
6115,2
9253,3
7549,3
5374,3
9294,3
2108,3
498,1
9003,2
7231,2
4246,3
453,3
928,1
324,2
5307,0
3485,1
1363,2
273,3
4464,2
4455,0
1367,1
5321,3
6368,3
5327,1
9330,3
6227,1
2286,2
3648,3
9837,2
8452,2
4907,3
3941,2
1250,3
9885,1
3213,3
4104,0
5467,1
5325,3
9454,2
6144,2
8532,3
4266,0
9625,3
7608,2
3857,3
9524,2
9502,1
7846,2
1880,3
1043,2
6352,3
3809,3
8627,3
4699,3
881,2
43,3
6232,3
5308,1
6821,3
3340,1
8542,1
716,3
7539,3
6311,2
387,2
6497,1
9433,1
165,1
7292,3
8462,1
4589,3
6876,0
598,3
4690,2
1895,3
1775,3
8790,1
692,2
6625,2
8,2
1051,3
784,1
2122,3
9843,1
2448,3
9635,1
8079,3
307,0
3641,1
6021,0
483,0
5052,3
6361,1
9898,1
7350,2
2214,2
9704,3
6831,2
7599,3
4859,3
2555,3
3749,1
2873,3
4079,3
3206,3
9563,2
8852,3
409,1
7970,3
3884,1
4598,3
5046,3
416,3
3179,3
5171,2
5880,3
4726,3
4161,3
4278,1
9355,2
9013,3
1106,1
2593,2
3365,3
9809,3
6360,3
7905,3
9761,3
866,3
1120,3
1104,3
1800,2
2587,3
3420,1
3426,3
9786,3
2603,3
8599,3
6884,3
5362,1
3841,3
4561,0
1725,1
9622,3
1781,2
6101,3
8329,1
4668,1
6433,3
5980,3
1020,1
2997,3
7371,3
9533,3
6736,3
9035,2
1618,3
2001,2
3317,2
6654,1
5041,3
1008,3
2520,0
5084,3
8719,3
5273,3
6346,3
6804,3
9297,2
9235,0
584,3
2881,3
4242,3
5985,1
6834,2
5657,3
8334,3
6706,3
2115,0
8565,2
1164,3
4310,1
7950,2
6455,3
980,2
4038,1
321,3
8833,3
7916,2
5071,1
7060,0
3105,3
3044,1
4403,2
7573,1
8072,3
9116,2
862,3
3186,3
2133,0
3137,3
3079,3
9672,1
9683,3
2007,1
2837,0
4319,2
9897,2
550,3
8623,3
8206,2
1445,1
7028,3
8880,2
5470,2
8191,3
4393,3
6422,3
445,2
1247,2
4314,2
65,3
2045,2
6581,3
4656,1
7408,2
2113,1
3139,2
5860,3
5354,3
3550,2
1801,2
4373,2
7867,2
2822,3
7761,3
1278,1
394,2
2803,2
8353,0
9599,1
1127,3
4381,3
315,3
4633,2
4014,1
850,3
3565,3
9386,3
9789,1
3054,3
6384,2
2759,1
9681,3
3129,3
3496,3
1006,3
8233,1
6647,1
6938,0
5959,2
2957,2
2279,3
1425,1
9237,3
7673,3
1474,3
4662,3
36,3
6547,3
7937,2
1347,2
8583,3
9597,3
2188,2
8006,1
626,0
6772,3
2815,2
4037,2
6548,3
7926,3
9914,2
378,2
6385,1
5435,2
1436,1
1107,3
6425,1
9878,3
5261,1
8298,0
6113,3
8163,1
9615,2
9848,3
4355,3
491,3
1641,1
6563,3
6131,3
237,3
6356,3
5375,3
6069,2
7912,2
6531,2
9812,2
8602,3
2294,0
8011,1
167,2
2140,2
561,2
6984,3
4019,1
6317,1
5828,2
8187,2
8098,2
1669,3
4018,3
3178,3
5276,3
9059,2
6250,3
9906,3
6549,3
6715,2
1490,3
1400,0
4163,3
333,3
4170,2
3980,3
157,3
1950,3
663,2
4312,3
4579,3
2903,1
5810,3
113,3
5747,2
6538,2
5450,2
7695,3
1487,1
1719,3
4441,3
2811,3
4747,3
1497,3
1007,3
6635,1
713,1
9264,3
8994,3
3404,2
3463,3
5891,1
9217,1
5406,3
4929,1
9576,1
1356,3
9648,3
9967,3
8573,3
8872,3
9300,3
1820,3
4069,2
2444,3
2446,3
2821,2
2311,1
4207,1
5183,1
2637,0
9255,3
4413,2
249,2
4642,2
5173,3
1736,2
8466,3
2595,2
1496,3
1645,3
3731,3
4565,3
3324,3
2952,1
4558,2
7976,3
1988,3
3922,2
4853,3
4543,3
6909,1
8614,1
2354,1
9874,3
1066,1
357,2
5903,3
7625,2
9396,2
7248,1
2585,3
5075,1
8751,2
4805,1
2062,3
1566,2
7185,2
4708,2
4850,2
4462,1
3848,2
5094,3
1478,3
3399,3
3355,3
2328,3
613,2
6810,2
486,2
1413,2
4150,0
8628,2
5202,1
6046,1
3172,2
9262,1
1992,3
60,3
3924,0
2529,3
3418,1
9721,1
3869,3
7276,3
359,3
902,3
3908,2
3288,1
3457,1
1658,3
3032,0
7956,2
151,3
6724,2
9336,2
3041,1
3373,3
9431,2
1245,2
64,3
7699,3
4701,0
9799,1
3842,1
6720,3
8458,3
6243,2
6005,3
1058,3
4372,3
5078,3
3520,1
4358,1
6215,3
6519,2
6621,3
2436,3
9926,0
5452,3
7194,3
1738,1
6013,3
1388,3
7500,2
2635,2
4984,3
3875,2
9617,1
7676,3
1600,3
6573,3
677,3
8186,1
3883,1
7733,1
177,3
5615,1
4183,3
187,2
924,1
621,2
1943,3
9366,3
2248,2
4852,2
146,1
4790,3
2925,3
6673,3
8917,1
5341,3
5089,2
4827,2
2674,3
8850,1
2663,1
8319,3
7860,3
9271,3
1343,2
2863,1
139,1
9884,0
8586,3
5381,3
7969,3
864,3
9888,2
9743,3
9331,0
661,2
2542,1
6100,1
7681,3
2577,1
927,2
2518,2
9805,2
6456,3
7967,3
7598,3
8911,3
13,3
9855,2
4502,3
9464,2
5189,3
4380,3
15,3
934,3
709,3
7415,2
2835,3
9254,3
3967,3
4896,2
3344,3
6321,3
8386,3
6042,3
7953,3
994,3
2817,3
3500,3
4484,1
3170,3
9083,3
3462,3
2810,0
5384,3
6164,2
3283,2
2653,3
2548,3
8064,3
4361,3
6389,3
3442,3
4353,3
6569,3
9616,2
8983,2
4264,3
6452,1
4937,3
4608,0
879,3
4818,1
8201,1
1349,3
6840,2
2662,1
4257,3
9522,3
4861,3
4741,3
1930,1
1876,2
5713,2
3853,2
7080,3
3688,3
5179,3
6991,3
5498,0
8014,3
9942,2
9868,2
9602,3
8493,3
170,3
2033,2
9429,3
7110,1
7850,1
9688,3
1789,3
4120,2
8156,3
8843,3
5390,0
8846,2
6747,2
6690,1
4370,2
9137,1
5909,0
4202,3
9318,3
1814,1
7925,2
702,3
