,Q,A
9333,1,1
4223,2,0
1488,2,1
2435,2,0
2066,3,1
8153,1,0
9663,1,0
6686,2,0
2954,1,1
870,1,0
2377,1,1
5687,0,1
7137,2,1
1175,1,1
9212,2,1
6762,2,1
126,2,0
4779,3,1
2198,2,1
2884,2,0
719,1,0
9768,2,0
2330,2,1
3665,1,0
1000,1,1
1256,1,0
2890,0,1
8167,2,0
3477,1,0
6173,0,1
9891,1,0
3464,1,0
9095,2,1
8081,2,0
3984,1,1
8135,2,1
3352,1,0
3516,2,0
3816,1,0
9713,0,1
4544,2,1
4375,3,0
2676,3,0
9969,3,0
6719,0,0
7686,1,1
9703,2,0
9321,2,1
2669,2,1
7978,2,1
9986,2,1
4529,3,1
7795,2,1
6624,1,0
8774,3,0
578,2,1
9756,0,1
9567,1,1
990,3,0
1765,2,0
5068,3,1
8749,1,0
9988,3,1
161,2,0
5201,1,1
2718,1,1
1714,0,0
6199,3,0
472,1,1
4563,1,1
2670,2,0
7377,0,1
9127,2,1
4556,1,0
3524,2,1
6571,1,1
6649,3,1
6118,0,1
1269,1,0
7164,1,1
657,3,1
897,2,0
1572,1,0
7624,2,1
251,2,1
6254,1,1
7441,1,0
2421,3,1
9324,1,0
1309,3,1
2504,2,1
6459,0,1
3948,3,1
909,2,1
8571,2,0
9589,1,0
8607,1,1
6827,2,1
7190,1,1
4947,3,0
9130,2,1
5149,2,1
4489,0,0
5510,1,1
6589,2,1
3630,2,1
8803,3,0
2174,2,1
7475,2,1
6688,2,0
3833,2,0
7819,2,0
4040,1,0
4440,1,0
4287,2,1
9033,1,1
3714,1,0
1063,1,0
1548,2,1
2437,2,1
4808,1,1
7021,1,1
2209,1,0
9801,2,1
1518,0,1
8845,1,1
3931,3,0
6325,0,1
7619,0,1
2955,0,0
4453,2,0
8535,3,0
7893,2,0
1067,2,0
5432,1,0
5648,2,0
9107,2,0
1139,1,0
8465,2,0
8274,2,1
6112,2,1
1010,1,0
1685,2,0
3826,2,1
975,2,1
1944,1,0
9982,0,1
240,2,1
8600,2,1
8289,3,0
2752,3,1
3624,2,0
6925,3,1
3805,2,0
4707,1,0
3183,1,0
9222,1,0
5725,2,0
3510,1,0
2641,1,0
4969,2,1
948,1,1
5015,2,0
2474,2,1
3927,3,0
6677,2,1
8954,1,0
4471,1,1
8091,1,1
2909,0,0
5218,1,1
1756,3,1
7694,2,0
295,1,0
7472,1,1
9234,0,1
7129,0,0
2754,3,0
8980,1,1
5187,1,1
100,2,1
137,2,1
1535,2,0
1679,2,1
5520,3,0
503,2,1
2411,1,1
1073,3,0
9927,1,0
6309,2,1
9421,2,0
5728,2,0
2388,1,0
6387,2,0
5947,2,1
261,3,1
5726,1,1
4259,0,1
8207,1,1
4437,3,1
6626,1,1
1885,1,0
7094,1,1
3997,2,1
6000,1,0
344,2,0
8268,1,1
6696,2,0
3513,2,0
4581,2,0
5239,2,1
1141,1,0
1434,2,1
8071,2,1
5638,2,0
891,0,0
7462,1,1
1804,3,0
944,0,1
9619,2,1
730,3,0
4714,3,1
5764,1,1
5106,0,0
4191,3,0
8434,2,0
1267,0,0
1749,2,0
4597,2,0
4198,1,1
7823,1,0
8909,2,1
1205,1,0
5251,2,1
2049,2,0
3314,2,0
3978,3,0
3321,3,1
5306,1,1
8162,3,1
5724,0,1
5108,2,1
6044,2,1
1325,2,0
9219,2,0
738,2,0
272,1,0
9671,1,1
7750,2,1
9501,1,1
347,2,1
1947,0,1
5350,1,0
3611,2,1
5923,1,1
2300,3,1
1986,3,0
8129,3,1
5479,1,1
720,3,0
2900,1,1
7941,3,1
4716,2,0
4115,2,1
6242,2,1
6143,0,1
7802,3,0
186,2,1
3369,0,1
6314,3,0
885,2,0
5093,0,0
1941,3,1
8241,1,1
8842,1,1
6644,1,0
901,2,1
4498,2,0
9614,2,1
4160,2,0
4029,3,1
7631,1,0
913,1,1
7540,3,1
4130,3,0
887,1,0
7531,2,1
7486,3,1
9018,2,1
7710,0,0
9769,2,0
9585,2,1
7325,2,1
3913,2,1
3835,0,1
9813,2,1
3200,1,1
7550,0,0
1492,2,1
419,0,1
1360,2,0
7373,2,0
9465,3,1
8963,0,0
3372,2,0
8325,2,1
1508,2,1
7376,0,1
4228,3,0
5887,2,1
6885,3,1
3819,1,0
5186,2,0
3618,0,0
3750,0,0
1070,1,0
2359,0,0
2453,3,1
8320,1,0
3559,0,1
6728,2,1
964,0,0
7369,3,0
2742,1,0
1481,2,0
2186,1,1
6135,2,0
2708,1,0
9432,2,0
2512,1,0
9951,0,1
7591,1,1
9209,2,1
517,1,1
7503,2,1
4523,2,1
4593,2,0
1173,2,0
4015,1,1
7798,2,1
4858,1,1
8604,2,0
6022,2,0
959,3,0
2481,2,0
3190,3,0
4630,1,1
6590,2,0
7674,0,0
197,0,1
8620,1,0
2363,2,1
5833,1,0
4341,3,1
9841,2,0
7516,2,0
838,3,0
3530,1,0
3592,2,0
4113,1,1
1868,2,0
4514,3,0
5804,3,0
9312,2,1
4826,2,1
3937,1,0
3047,1,1
5723,1,0
95,0,1
9750,0,1
5058,0,1
6268,1,1
8109,1,0
8688,3,1
4435,3,1
6372,3,0
7163,2,1
1665,2,0
9285,1,1
797,3,1
5514,2,0
7507,2,0
3852,3,0
3146,2,0
1615,1,1
7259,1,1
3930,1,0
5667,0,0
3113,2,0
3295,0,1
8591,1,0
3076,3,1
9049,1,1
2639,2,1
336,2,1
9821,1,1
6438,2,1
6550,1,0
3035,1,1
39,1,0
5085,1,0
5485,2,1
134,1,1
6212,1,1
1684,2,1
8377,2,0
3165,2,1
55,1,0
6689,1,0
6905,1,1
9270,1,1
1808,2,0
8572,0,0
4617,1,1
9200,1,0
6596,0,0
285,1,0
7790,2,0
8195,0,1
1562,0,0
1493,1,1
2648,1,1
1016,0,1
5609,1,0
234,1,1
731,1,0
4864,1,0
5484,3,1
9676,1,1
4158,2,0
7700,0,0
9440,1,0
2830,1,0
7057,1,1
8652,1,1
9322,0,0
9337,2,0
8221,2,0
4671,1,0
8610,1,1
7149,2,1
5411,3,1
7102,1,0
4492,2,0
1626,2,1
9256,2,0
7505,2,1
9716,1,1
7224,1,1
4665,2,0
4564,2,1
6276,3,0
1128,0,0
8981,1,0
2348,1,1
1200,1,1
6734,2,1
7058,1,1
1995,1,0
4533,1,0
599,2,0
9905,3,0
2199,3,1
7616,3,1
4869,1,1
2510,2,0
7100,3,0
6813,1,1
9066,1,0
4317,3,1
7657,2,0
9959,3,0
7752,2,0
3296,1,1
7889,2,0
8660,2,1
2777,2,0
2176,1,1
4364,1,1
1981,0,0
9632,1,1
865,0,0
1198,2,0
5091,2,0
9808,2,0
9651,2,0
1076,2,0
7785,2,1
395,1,0
7483,1,1
6220,0,1
3655,1,1
248,2,1
5165,0,1
7604,1,0
5933,1,0
5103,1,0
8686,2,0
8890,2,0
2290,1,0
4876,2,1
4854,2,0
6330,2,1
2527,2,0
741,2,1
8779,2,0
6863,1,0
7497,2,1
9117,1,1
120,1,1
9770,3,1
5509,0,0
8793,1,1
5532,0,0
2076,0,1
537,1,0
7086,1,0
2859,1,0
2975,1,0
9428,1,1
7911,2,1
1635,1,0
8820,1,0
3333,2,0
4797,1,1
6545,2,1
4357,1,1
9144,1,1
6251,2,0
1240,3,0
1465,3,1
2040,3,0
4253,0,0
3274,2,1
4473,2,0
68,1,0
3563,1,0
473,2,0
2074,2,1
3646,3,0
1100,1,0
1340,3,0
1387,2,0
7877,1,0
415,1,0
3600,3,0
7105,1,0
2132,3,1
5360,1,0
1080,1,1
6572,2,0
1253,2,0
1824,1,0
1419,1,0
7413,3,0
923,2,0
9266,1,0
9656,2,0
8263,1,0
7363,1,1
2091,2,1
8626,1,0
7050,1,1
986,0,0
4044,2,0
5898,1,1
3634,0,1
238,1,0
9374,3,0
7754,2,1
3961,1,0
5557,1,1
6873,1,1
6826,1,1
6685,2,1
3479,2,0
3702,1,0
4769,3,0
5351,1,1
4883,1,0
7257,3,1
3680,1,1
7368,2,0
2767,1,1
9975,3,0
26,2,1
8264,2,0
6674,1,1
9557,2,1
340,1,0
5993,3,1
5501,0,1
4877,2,0
5232,2,0
5876,1,1
2874,0,0
7235,2,0
8419,2,1
3901,1,0
3293,3,1
4233,1,1
2694,2,0
2393,1,0
7127,2,1
2127,0,0
8831,1,0
1428,2,1
149,2,1
3605,2,0
6338,3,1
4121,1,1
8915,1,1
3339,0,0
4897,2,1
3801,2,0
8892,2,0
6693,3,1
726,2,0
8678,2,1
4842,1,1
7884,2,0
972,2,0
7091,3,0
2838,1,1
8142,1,1
4560,2,0
2465,2,0
6593,0,1
1662,2,1
8396,1,0
9211,1,0
5877,3,0
189,2,1
1620,1,1
5581,2,0
4414,1,1
7728,2,0
1970,2,0
3323,2,0
7776,3,1
8321,2,1
5841,2,0
1631,2,0
9163,2,0
5395,2,0
2705,1,1
1553,2,1
2826,1,0
4181,1,1
188,1,0
4367,0,0
1735,0,0
5329,2,1
3412,1,0
3994,1,1
3898,1,0
9473,2,1
365,1,1
7479,2,1
29,1,1
3437,2,1
8941,0,0
8574,1,1
2138,1,1
8543,0,0
7042,1,1
9383,1,0
2544,0,0
3480,0,1
4866,1,1
1602,2,0
5000,2,0
8363,1,0
7931,1,0
4653,2,0
7463,2,1
4005,2,0
193,2,1
3029,0,1
7495,0,1
8933,0,0
7478,3,1
9155,2,1
2905,2,0
7669,1,1
4955,2,0
5727,0,1
2924,0,0
2269,2,1
4174,1,1
7927,1,1
5550,0,0
3832,1,0
8710,3,0
9176,2,1
5542,2,1
4090,0,0
7344,1,0
6426,3,1
848,1,0
1279,3,1
5213,3,0
3470,1,1
4909,0,1
2267,0,0
1638,1,0
6004,2,0
5523,2,0
1920,2,0
9015,1,1
5132,1,0
9180,2,1
4911,2,0
1153,2,0
2353,3,1
2097,1,1
9439,2,0
4787,0,0
6293,2,1
469,2,0
978,1,0
3541,2,1
9670,1,0
3292,1,0
2851,2,0
8259,2,1
6448,1,1
9335,2,0
6464,1,0
8900,1,0
7456,0,1
2366,1,0
9528,3,1
4954,1,0
3965,2,1
439,0,1
6733,0,1
3395,1,1
9080,2,1
377,1,0
4892,0,1
4933,1,0
3223,2,1
9166,2,0
417,3,1
9442,1,0
8975,0,0
281,2,0
217,1,1
115,1,1
2688,2,0
9038,1,0
3015,1,1
4401,1,0
7438,1,1
4151,3,1
1217,2,1
1565,2,1
5738,2,0
3766,2,0
5884,1,0
708,0,1
2429,1,0
1642,2,0
5408,2,0
2926,1,1
3813,2,0
5364,2,0
19,0,0
7243,2,0
3381,2,0
6001,2,1
524,2,1
1523,1,0
6397,1,0
3116,1,1
5693,1,1
2996,1,0
6458,2,1
794,1,1
2067,3,0
714,2,0
7395,1,0
4824,2,1
9760,3,1
4410,3,0
7971,3,1
6812,2,0
3743,3,0
8271,2,0
3229,2,0
6927,2,1
2539,2,1
6722,0,0
1027,0,1
9364,1,1
3024,0,0
7241,2,0
1184,0,1
6116,1,1
7090,2,1
3864,1,1
3531,1,0
2043,0,1
6061,1,0
6655,2,1
577,1,1
9295,2,1
1588,1,1
8189,2,1
71,3,0
1310,2,0
8359,2,0
4313,3,1
4989,1,1
3877,0,0
7011,2,0
8877,2,0
5144,2,0
4459,1,0
4195,1,0
3983,1,0
9863,0,1
8558,3,0
4570,1,0
7940,2,0
1728,1,1
6132,2,1
3562,2,1
5651,0,0
4904,2,0
4746,2,0
3212,2,1
2913,3,1
8113,0,1
1196,0,0
2407,2,1
9666,2,1
9111,3,0
1794,3,1
1737,0,0
4461,0,1
9060,0,1
3964,1,0
2865,1,1
4210,2,0
4013,2,1
3482,1,1
4732,1,1
4305,1,0
3745,0,0
8984,2,0
6443,2,1
4220,1,1
1460,3,1
2941,1,1
7175,1,0
6111,1,1
9991,3,1
566,3,0
479,3,0
5604,1,0
4717,1,0
4972,1,0
5312,3,1
925,2,1
371,2,0
4162,1,0
5107,1,0
2769,1,1
1599,2,0
2167,0,0
8636,0,1
7712,2,1
7633,3,1
2317,1,0
1401,2,1
5546,1,0
1627,1,0
7506,2,0
7649,2,0
2939,1,0
7400,0,1
5991,2,1
4265,0,0
215,2,1
5934,0,0
5026,2,0
1865,1,0
7293,2,1
624,3,1
9872,1,1
2202,1,0
4925,1,0
9714,2,1
4846,1,1
2112,1,0
7347,0,0
3975,2,0
3036,2,0
8111,1,0
6943,1,0
5340,1,0
7360,1,0
4283,1,1
9119,2,0
9537,0,1
9142,2,0
4720,2,0
8467,2,1
5582,2,1
7708,2,1
1353,1,1
7992,1,0
8901,0,0
7648,1,1
5100,2,0
1837,1,1
836,2,1
9105,2,1
7365,2,0
205,3,0
3799,2,1
4829,2,1
6375,1,0
5659,1,0
6026,1,0
6324,0,0
1323,1,0
750,2,1
8065,1,0
2490,2,1
4891,1,1
7470,2,1
283,2,0
2740,3,1
2403,2,1
3744,2,1
8247,2,0
2979,2,1
7718,2,1
2391,3,1
7165,3,1
5894,2,0
7223,3,1
1528,2,1
4542,1,0
114,2,1
8878,2,1
8549,2,1
2569,1,0
8781,1,1
147,2,1
8887,3,1
4339,2,0
9997,2,1
7311,1,1
3052,1,0
7099,2,0
1624,2,0
3957,1,0
4075,2,0
5972,1,0
3780,2,0
762,2,0
7405,2,1
3441,2,1
7865,1,1
1394,3,0
6711,2,1
9408,1,1
132,2,1
2230,2,0
8723,2,0
4517,0,1
7282,3,1
9426,1,0
4511,1,1
7332,2,1
4405,2,0
2224,2,0
1290,1,1
1305,3,1
912,1,0
231,3,1
3629,0,1
411,3,1
8318,0,0
3969,2,1
1608,3,1
2732,2,1
4754,1,1
4713,0,1
2652,0,0
3505,2,1
2692,3,1
7450,2,1
3011,3,0
867,1,1
4966,2,1
8312,1,1
1099,3,1
7794,1,1
2032,1,1
7031,1,1
1412,1,0
5177,2,0
4016,1,1
8497,2,1
2472,3,1
2261,0,1
4332,1,0
8667,2,1
8503,1,0
8528,1,0
4580,1,1
1096,1,0
5580,3,1
183,1,1
1045,1,1
3061,1,1
1251,2,1
468,0,0
8500,1,0
4767,2,1
7628,3,1
6892,2,1
572,2,1
2912,1,0
9825,2,1
6597,2,0
427,1,0
1464,0,1
3003,3,0
8988,1,0
1110,1,0
9239,2,0
6367,2,1
9485,0,1
3689,1,0
8916,1,1
4190,1,0
7290,2,0
7987,1,1
3320,2,1
5663,3,0
1082,1,0
4282,1,0
6315,1,0
3433,2,0
6807,1,0
3493,2,1
4021,1,1
5758,3,0
8757,2,1
1486,2,0
1234,2,1
9277,3,0
1149,1,1
1288,2,0
3215,2,0
5301,0,1
2423,2,0
8695,2,0
3282,1,0
4587,1,0
4214,1,0
628,1,1
3117,2,0
2244,2,0
9639,2,0
2095,2,0
7892,2,0
1462,1,1
3504,1,0
236,0,0
3290,2,1
846,2,0
5906,2,1
7150,1,0
7269,2,0
2746,3,0
8170,1,1
6895,1,1
9675,1,1
2346,2,0
2931,3,1
2042,1,0
6755,1,0
9167,2,0
1301,3,1
6988,1,1
4245,1,0
319,2,1
4280,1,0
7831,1,1
2916,2,1
1335,1,0
9261,2,0
695,2,0
8914,3,0
4900,1,1
3670,1,1
9055,1,1
4624,0,0
3815,0,1
7514,2,0
3787,1,0
6935,2,1
6149,3,0
1199,0,1
5613,2,1
2786,1,0
1557,1,0
2964,1,0
2125,1,0
575,2,1
2390,0,1
2809,1,1
5549,3,1
6030,1,1
4423,3,0
3955,0,0
1272,2,0
7965,1,1
1688,1,1
1437,1,1
1328,2,0
2600,3,1
59,2,1
5832,3,0
4249,2,1
2245,3,1
3769,1,0
6478,1,1
3519,1,1
9390,1,0
5334,2,1
9371,3,1
6018,1,1
8349,2,0
173,1,0
4196,1,1
1081,1,0
5599,3,0
4729,1,0
3693,1,0
8340,2,1
8775,2,1
8742,2,1
9182,0,1
4267,1,1
6138,1,0
4974,0,0
6653,2,1
3109,0,0
5174,2,1
2778,2,1
7683,0,1
9644,1,0
4179,2,1
3074,1,0
8044,2,0
5013,2,0
2063,0,1
5712,1,1
2709,1,1
2988,1,0
3533,2,0
880,1,1
8256,1,1
5043,1,1
178,2,1
6606,1,1
3503,3,1
5698,1,0
1567,2,0
7922,1,1
6075,1,0
257,1,0
830,2,1
2678,1,1
8674,1,0
4871,3,0
7326,3,1
9804,0,1
2508,2,0
5290,2,0
6768,2,1
592,2,0
3717,1,1
9521,2,1
5380,2,0
9546,1,1
4751,0,0
7302,2,1
2934,1,1
9367,1,1
1406,2,1
8427,2,1
4574,2,0
4935,0,0
7270,2,1
4613,2,1
4425,2,1
8002,2,0
1729,0,0
6064,2,1
2364,1,1
4675,3,0
9950,2,1
3518,1,0
3791,0,1
5854,2,0
6357,0,0
2087,0,1
1853,0,1
8212,3,1
8311,2,1
4009,3,1
2331,2,1
6529,3,1
184,2,0
5528,1,1
5874,2,1
8575,2,0
5577,2,0
9618,2,0
710,2,1
2084,2,1
3678,3,0
1664,3,1
4240,1,0
1516,2,0
1830,1,1
420,1,0
9948,2,0
4700,2,0
9132,1,0
7645,2,1
8581,2,0
2476,3,0
5494,1,0
3584,1,0
6705,2,1
30,2,1
1603,2,0
2313,0,0
2645,2,1
6825,1,0
330,2,0
7711,2,0
7636,0,0
4634,1,1
7634,0,0
1537,1,1
7112,0,1
8395,1,0
4020,0,1
2592,0,0
7152,1,0
962,2,0
8299,1,1
3180,2,1
9992,2,0
9145,2,1
947,1,0
1114,1,1
5182,1,1
9980,2,0
7283,1,0
112,2,0
6668,1,0
9484,3,1
6580,1,1
8531,2,1
5706,2,0
7814,3,0
2907,2,0
8545,1,0
2536,2,0
9490,0,1
9598,1,0
8669,3,0
2297,2,0
8548,2,0
9815,2,0
7545,2,1
1762,1,0
138,2,1
2820,2,0
9706,2,1
3023,1,1
704,1,0
8484,3,1
8094,2,0
6028,2,0
4636,3,0
8297,2,1
2314,2,0
1346,1,1
8148,1,0
6244,2,0
7654,1,1
9267,0,0
3219,2,0
3844,2,0
7603,3,1
2932,3,0
4052,0,1
5007,2,1
2958,0,1
6327,1,0
9272,1,0
8624,1,0
6968,1,0
7897,2,0
3248,2,1
8418,1,1
673,1,0
1226,3,1
5917,3,1
2749,2,1
7601,1,1
8763,1,1
3126,0,0
8597,1,1
2184,0,1
353,1,0
4206,1,1
9707,1,1
4290,2,1
3175,1,0
1206,2,1
7521,2,1
9748,1,0
459,3,1
3456,3,0
551,2,0
6508,3,1
6703,1,1
2223,2,0
2462,3,1
2291,2,0
201,2,0
8166,3,1
685,2,1
5282,1,1
3088,1,1
5848,2,1
1877,2,0
7861,1,0
5245,0,0
6881,1,0
7809,1,1
4825,3,1
4006,2,1
6923,1,1
2758,3,1
2920,2,1
8712,3,0
1570,2,1
9317,2,0
6204,1,1
1530,1,0
8270,2,0
4975,1,0
4072,1,1
507,0,0
8592,2,1
9174,2,0
7039,2,1
8172,2,0
4770,1,0
4924,1,0
2942,2,0
9698,2,0
8433,2,0
7219,2,1
7763,1,1
6858,1,1
9233,2,0
4445,2,1
1171,1,1
2855,1,1
1134,3,1
6014,2,1
429,1,1
5422,3,1
1850,2,0
2498,0,0
3453,2,1
9765,3,0
1215,0,0
7498,1,0
3909,1,1
3077,1,1
9788,0,1
3915,3,0
4047,3,1
9382,2,1
2237,1,0
7614,1,0
3925,2,0
1015,2,0
3649,1,0
4739,1,1
4757,2,1
5734,2,1
7022,1,1
4766,3,1
4057,1,1
7173,0,1
8821,2,0
8410,2,1
3511,1,0
7010,0,1
3685,2,0
7853,2,0
470,1,1
7567,3,1
9173,2,1
9569,1,1
5735,1,0
9504,1,1
4983,1,1
3318,2,1
3759,2,1
539,1,1
3803,0,1
8650,2,1
5849,1,1
844,1,0
920,1,1
2099,0,1
4141,3,0
9840,2,0
2026,2,1
2816,2,1
9409,2,0
698,2,1
4622,1,0
9477,0,1
9699,2,0
9136,0,0
2584,3,0
9435,2,1
2894,1,0
6503,1,0
1901,2,1
1686,3,1
2951,3,0
4537,1,1
1324,2,0
162,1,1
2254,0,0
7693,3,1
1549,1,1
5449,1,1
8746,2,1
9509,1,1
1918,2,1
6214,2,0
9162,3,1
8118,2,1
2440,1,1
8450,3,1
3642,2,1
8875,1,0
8423,0,0
3188,2,0
4960,2,1
5249,1,1
7436,3,1
3454,2,1
7158,1,1
9082,1,0
3377,0,1
8809,2,0
6800,1,0
4149,2,1
8316,2,0
2559,0,0
6201,2,0
7958,1,1
7791,1,1
7144,2,0
9749,0,0
2389,0,0
9858,2,1
2703,1,1
4476,2,1
4773,3,1
4889,2,0
4398,1,1
6933,3,0
6168,1,1
4673,3,0
6416,2,0
1900,1,1
4855,1,1
9369,2,0
2272,2,1
2844,1,1
2773,0,0
6505,2,1
2664,2,1
9100,1,0
116,2,1
564,1,0
2567,1,0
6963,1,0
3241,1,0
3136,1,1
2779,2,1
8457,1,1
5994,0,1
1859,0,1
2553,1,0
8013,0,0
635,3,0
5548,3,1
8644,3,1
5349,2,1
7156,1,0
1826,2,0
4315,2,1
6163,2,0
3435,2,1
9028,2,0
4230,2,0
4293,2,0
1721,3,0
8483,2,1
8771,0,1
7319,3,0
5825,2,0
9724,2,1
1835,3,1
583,2,0
8181,0,1
4650,0,0
9346,2,1
3021,2,0
4292,0,0
3590,3,1
6304,2,0
4197,2,1
7265,1,0
2250,3,1
3111,2,1
8159,1,1
2397,1,1
9078,3,1
8338,1,1
5629,3,0
5901,1,1
1776,0,1
9919,2,0
5805,1,1
4273,2,1
7757,2,1
2801,1,0
5935,1,1
9201,1,1
4248,2,0
2485,2,1
5223,2,1
6965,2,0
6034,0,1
7551,2,1
6084,1,0
3033,2,0
2513,2,1
1690,2,1
2325,0,0
759,1,0
4436,1,0
4237,1,1
916,0,1
5575,2,0
5982,2,1
5966,2,1
3581,1,0
5826,1,0
5690,2,0
5102,1,0
4479,1,1
6819,1,0
8704,0,1
93,1,1
8570,2,0
5964,1,0
3013,0,1
1044,2,1
1807,0,0
8811,0,0
8326,3,0
1294,2,0
780,1,1
4657,1,1
6931,2,0
5255,0,0
7698,1,0
6087,1,0
4980,1,0
1894,2,0
1696,2,1
8373,3,0
9282,1,1
5028,1,1
8477,2,0
8209,3,1
2443,2,0
7904,1,0
2160,1,1
9956,1,1
8176,2,1
1109,2,1
5098,3,1
2977,1,1
3115,1,0
5225,2,1
8798,3,1
1438,1,1
4991,2,0
737,3,1
6608,2,1
1069,3,0
2158,2,1
7847,0,0
9053,0,0
6820,2,1
6862,3,1
1105,2,1
6806,1,1
563,2,1
8007,0,0
3082,1,0
8200,2,1
5601,2,1
2350,1,0
243,2,0
5802,1,0
6784,2,0
1869,0,0
7471,1,1
8276,1,1
8871,2,0
339,1,1
5040,1,1
3217,1,0
2118,2,0
7662,1,0
5400,2,1
1710,2,1
1098,2,0
1087,3,1
7062,2,0
8865,1,0
8175,3,1
2960,2,1
3960,1,0
4841,2,0
5639,2,0
6918,0,1
8797,1,0
6403,2,1
5936,0,0
669,0,1
4289,2,0
6756,2,1
5431,1,1
651,3,0
4645,1,1
8138,2,1
511,1,0
4080,2,0
6942,1,0
9286,0,0
6484,2,1
8074,1,0
5661,0,1
7515,2,1
2414,1,0
5751,1,0
4356,2,1
8918,1,0
6374,2,0
2143,1,0
9544,2,0
4262,1,0
2983,1,1
8114,2,1
3553,2,1
3556,1,1
7576,1,0
860,1,0
7835,2,0
4286,1,1
9361,3,0
7744,2,0
3586,0,1
4554,2,1
5118,2,0
6604,2,0
6684,2,0
3526,0,0
7881,0,0
8675,0,0
8144,0,0
4820,1,0
5099,2,0
2743,1,0
7314,2,1
2280,1,1
6086,2,0
8679,2,0
5317,2,1
8907,1,1
2734,2,1
2723,2,0
4731,2,1
4153,1,1
7394,0,1
5499,1,1
4155,0,1
7354,1,1
7191,3,0
1048,2,0
2656,2,0
1260,2,1
4658,2,0
6382,1,1
8519,1,0
4067,1,1
1292,3,0
3794,1,1
6856,1,1
8642,3,1
5592,2,1
2027,2,0
8697,2,1
7597,3,0
355,2,1
462,2,0
107,2,1
3091,2,1
1671,2,1
5779,1,1
9229,2,0
809,3,1
7975,1,1
6981,1,1
5323,0,0
6718,1,0
508,2,1
9727,0,0
8847,1,0
6306,1,0
7607,3,0
9680,2,0
2647,1,1
2546,1,0
1432,2,1
4748,2,0
6780,1,0
4444,2,1
7453,1,0
4548,2,0
4927,2,1
3690,1,0
9385,2,0
1724,3,1
9952,2,0
872,2,0
5731,1,0
1767,2,0
3800,2,0
9377,3,1
5066,2,0
2255,2,0
2839,1,1
6358,3,1
758,0,0
8858,1,1
4994,0,1
9764,2,1
7818,2,1
8261,2,1
9230,2,1
3363,3,1
842,1,0
242,2,1
4791,3,1
2081,0,1
1654,1,0
8699,1,1
3057,3,1
5783,1,1
6914,1,1
3788,1,0
9752,1,1
9009,2,1
5743,1,0
123,2,0
6128,3,0
8666,2,1
6842,3,1
7951,1,0
8022,2,1
5430,2,0
3521,1,0
2621,2,0
2947,2,1
2617,1,0
4501,1,0
1421,1,1
6847,2,1
5989,1,1
8215,1,1
3019,2,0
5466,2,1
8748,1,1
8829,2,1
601,2,1
9375,1,1
5480,2,1
1137,2,1
1239,2,1
2257,2,1
5314,2,0
2374,2,1
3664,3,1
1962,2,1
9483,1,1
7454,2,0
5952,2,0
4343,1,0
6511,2,0
9293,1,1
5260,1,0
7788,3,1
8982,1,0
2852,2,0
2985,0,0
5031,1,0
6025,1,0
2085,3,1
1151,2,1
5142,3,1
4060,2,0
4986,2,1
4168,0,1
8638,1,1
337,0,0
8758,3,0
5047,2,1
7753,2,0
62,1,0
4661,1,1
6708,3,0
3000,0,0
5017,3,0
2971,1,1
1607,2,1
8722,1,0
7147,1,1
1945,1,0
5647,1,0
9289,2,1
8533,3,0
523,3,0
3544,2,0
8784,2,0
7644,0,0
2236,1,0
6620,1,0
5229,2,1
6440,3,0
8603,3,1
6258,1,1
533,1,0
5319,1,1
8615,1,0
7587,2,1
9779,2,1
5021,3,1
7382,2,0
6088,3,1
3481,2,0
1829,3,0
7697,3,1
6248,2,1
7391,0,1
9787,2,0
6472,2,1
2238,1,0
4916,2,0
6434,1,1
6570,2,0
7249,3,0
2426,2,0
7378,2,1
4390,1,0
6009,2,1
5151,2,0
3118,1,0
8279,0,1
4420,3,0
7656,2,0
7672,1,1
3582,1,1
8031,2,1
2299,2,0
7854,1,0
2872,0,0
3078,1,1
225,2,0
818,1,0
4350,0,1
1633,2,1
1059,2,1
8068,1,0
9938,1,1
8158,2,1
5979,0,1
9753,2,1
9157,3,1
8544,1,1
2332,2,0
6051,0,0
7526,3,0
5382,2,0
3103,3,1
8059,1,1
1097,2,0
6460,1,1
9881,1,1
7996,1,1
749,0,0
1236,3,1
3234,1,1
7640,0,1
4260,2,1
1383,1,1
282,3,1
5175,1,1
3881,0,1
3017,1,0
4446,1,1
5394,2,0
6628,2,1
3847,1,1
1973,3,0
9535,2,0
1952,1,1
3048,0,1
5421,2,0
467,2,0
5778,1,1
4735,1,0
816,1,0
1707,2,1
277,2,1
8955,1,1
8285,2,1
3970,2,1
1252,2,1
2360,3,1
2980,3,0
384,2,1
6910,2,1
5322,1,1
2895,3,1
5346,3,1
8585,1,0
5536,2,1
5754,2,0
4734,2,0
9283,3,1
5809,1,0
859,1,0
617,2,1
3393,3,1
3855,2,0
5652,2,0
9177,2,1
8547,2,1
6603,2,0
3896,0,1
5703,3,1
3358,3,1
5521,1,0
9373,2,1
50,0,1
736,1,0
7512,2,1
8330,1,1
3184,2,0
1214,1,0
2697,1,0
9527,1,0
5034,1,0
2046,2,1
332,2,0
2693,0,0
7618,2,1
2556,1,0
6115,1,1
9253,2,1
7549,2,1
5374,1,1
9294,1,1
2108,2,1
498,1,0
9003,2,0
7231,2,0
4246,3,0
453,2,1
928,1,0
324,0,1
5307,0,0
3485,1,0
1363,2,0
273,1,1
